feature,correlation,importance
water_status_min,-0.4340741183462496,0.15150289200752157
ops_week_total_duration,0.4812085141913561,0.14879922348527289
prev_duration,0.27479465350617294,0.07964897867214732
ops_week_avg_gates,0.288154132714309,0.053617023923566924
day_of_year,-0.06527798990601236,0.05106794943063829
prev_op_hour,-0.07949184871988581,0.04710705577298182
prev_gate_count,0.3656677238141081,0.04304230527025596
day_of_week,-0.014807310253342023,0.02743208477582363
hour_cos,0.09542110647947395,0.02651835135117272
hour_of_day,0.06334388432548937,0.022259199675899566
ops_week_count,0.37585209121739266,0.022160913502194474
future_tide_tide_r_squared,-0.3645485279922402,0.019854053343385254
hour_sin,-0.032933077295337405,0.01970610789811292
tide_12h_tide_slope,-0.03344451019761314,0.013568554710242141
flow_rain_ratio,-0.11790678443673111,0.012240907905182107
flow_skew,-0.1882860621528248,0.011188116075905141
month,-0.06526255074303602,0.010359980888587882
water_status_mean,-0.38512009896237126,0.010308309883572214
rain_actual_新昌_mean,0.04007094171120267,0.009322786039242408
tide_12h_tide_r_squared,-0.21843147139751168,0.008995042282676871
future_tide_tide_slope,-0.1065136957909525,0.008456511219923104
future_tide_tide_min,0.16901255556422634,0.00782118590544999
tide_24h_tide_fall_rate,-0.3436581301530384,0.00725113501443965
tide_12h_tide_rise_rate,-0.2518269060539319,0.006650074019821808
tide_24h_tide_r_squared,-0.1854355862845377,0.006435219932761621
water_status_range,-0.3735607650012409,0.006390137320776877
water_status_slope,-0.05768226730481068,0.0060842233367659265
tide_12h_tide_mean,-0.2824524793012281,0.006040473407150251
tide_24h_tide_mean,-0.30730611136048547,0.00590625124314374
tide_24h_tide_rise_rate,-0.3548464502278825,0.005799041133894621
water_status_max,-0.3807891896075162,0.005641855639055861
future_tide_tide_range,-0.32209932269835634,0.005633349010939406
tide_12h_tide_range,-0.349735215493058,0.005538036729027497
flow_mean,0.01523410463437359,0.005444356876400095
tide_12h_tide_min,0.3520077635963465,0.005306420000568466
tide_24h_tide_slope,-0.023517391122646825,0.005132642957101065
tide_12h_tide_max,-0.33644215563366087,0.004938089656902264
flow_max,-0.023962633511149252,0.004711453575315974
tide_24h_tide_max,-0.35067047213762126,0.0046239481582507225
future_tide_tide_mean,-0.21186515230941813,0.004510905791160011
rain_actual_嵊州_mean,0.04898611130364441,0.004425312871516282
tide_24h_tide_range,-0.3627118321755507,0.004206247504846152
flow_var,0.029119440531340537,0.004190201941195247
rain_actual_绍兴平原_mean,0.02771277446174274,0.004060826662893311
tide_24h_tide_min,0.37554214138180175,0.0039634170290525975
rain_actual_绍兴平原_sum,0.04883829617305146,0.003629168121476764
flow_range,-0.05284493435085226,0.003514454822413423
rain_actual_嵊州_sum,0.06150312600239004,0.0034372634650285836
rain_actual_虞北平原_max,-0.03320312978397925,0.0032914581903732395
rain_actual_虞南山区_sum,0.05859138137865324,0.0031176742834924777
future_tide_tide_max,-0.28364131675703746,0.0030038012366912646
tide_12h_tide_phase,-0.29980836023262375,0.002962941317285686
tide_24h_tide_cycle_count,-0.37644477478570304,0.0029026895802877657
tide_24h_tide_phase,-0.30408816340662986,0.002808295436865296
flow_min,0.05189293065749008,0.002738809491207216
rain_actual_新昌_max,-0.04646658015379754,0.002708380050185496
future_tide_tide_fall_rate,-0.057676727723132995,0.0026599572638333416
is_weekend,-0.013366218781143155,0.002656036976225206
future_tide_tide_rise_rate,-0.1058165679031567,0.002648233740003836
is_rush_hour,-0.022391203035139553,0.002380899051636111
rain_actual_虞北平原_sum,0.054439591953000736,0.0023596007869863484
future_tide_tide_phase,-0.2928169565433613,0.002345216837395325
rain_actual_嵊州_max,-0.06404471539892773,0.00213189893694523
rain_actual_avg,0.059390294415324216,0.002093883291054638
rain_actual_绍兴平原_max,-0.06654130949170002,0.0020882283868038963
rain_actual_虞北平原_mean,0.03947370479423422,0.0019530777312968487
rain_actual_新昌_sum,0.04975830381380257,0.0017391706736414562
rain_actual_虞南山区_mean,0.043403900004878156,0.0017058064883801775
rain_actual_虞南山区_max,-0.07705534567108115,0.0015705310713536823
rain_actual_total,0.05939029441532425,0.0015279189143622086
tide_12h_tide_fall_rate,-0.09202137714709273,0.0014649375040126076
future_water_missing,0.10848333845282426,0.0010409950147684112
rain_change_rate,-0.0031883989504445528,0.0009239559519170763
tide_12h_tide_cycle_count,-0.27200800268018566,0.000908611975022863
rain_forecast_新昌_sum,-0.010224064721076937,0.00046400770812055536
future_tide_tide_cycle_count,-0.09925444804841606,0.00028915946724077286
rain_forecast_虞北平原_max,-0.03846304558701904,0.0002656697582748163
rain_forecast_虞北平原_sum,-0.029074315042662047,0.0002562812486746165
rain_forecast_绍兴平原_max,-0.02919298820654619,0.0002487487857692079
rain_forecast_avg,-0.022797895587759943,0.0002337309237631517
rain_forecast_嵊州_sum,-0.02615294245809694,0.00023230102531607662
rain_forecast_新昌_max,-0.0315554319543546,0.00021755121151174626
water_missing,0.3778691773691649,0.0001862282054097507
flow_missing,0.3792159183773551,0.00017802540994181376
rain_forecast_虞南山区_max,-0.002429080173996209,0.00017607964964360526
water_status_missing,0.3805201721932998,0.0001423721417016702
rain_forecast_total,-0.022797895587760027,0.00014049776767325996
rain_forecast_虞南山区_sum,-0.019048097911890313,0.00013917435875634952
rain_forecast_虞北平原_mean,-0.02784158479358907,0.00011903940178133228
rain_forecast_嵊州_max,-0.03209813083169932,0.00010827843234456894
rain_forecast_新昌_mean,-0.00848859104735656,9.561504028308592e-05
rain_forecast_嵊州_mean,-0.01864676846377548,8.823818356087038e-05
rain_forecast_虞南山区_mean,-0.0017414316263870563,8.014316499390559e-05
rain_forecast_绍兴平原_mean,-0.010487771275900722,7.784712876564244e-05
rain_missing,0.0206096052960554,4.851956086249285e-05
rain_forecast_绍兴平原_sum,-0.025997001241649245,3.744100192939127e-05
water_rain_ratio,,0.0
